"","Date","Open","High","Low","Close","Adj.Close","Volume","shifted_close","returns"
"116","2013-08-01",18.459999,18.459999,17.309999,17.379999,3.480746,0,3.632954,-0.0418964842384462
"117","2013-09-01",17.49,18.690001,17.49,18.120001,3.628949,0,3.480746,0.0425779416251575
"118","2013-10-01",18.360001,18.879999,17.75,18.65,3.735094,0,3.628949,0.0292495154933288
"119","2013-11-01",18.74,19.23,18.41,19.23,3.851253,0,3.735094,0.0310993511809876
"120","2013-12-01",19.07,19.219999,17.139999,18.15,3.634958,0,3.851253,-0.0561622412238302
"121","2014-01-01",17.950001,18.42,17.450001,17.629999,3.910248,0,3.634958,0.0757340249873588
"122","2014-02-01",17.01,18.74,17.01,18.74,4.156441,0,3.910248,0.0629609682045742
"123","2014-03-01",18.6,19.18,18.5,18.9,4.191928,0,4.156441,0.00853783320874757
"124","2014-04-01",19.120001,19.290001,18.209999,19.02,4.218544,0,4.191928,0.00634934569486867
"125","2014-05-01",19.040001,19.190001,18.450001,18.98,4.209671,0,4.218544,-0.00210333233456839
"126","2014-06-01",18.93,19.610001,18.83,19.610001,4.349402,0,4.209671,0.033192855213626
"127","2014-07-01",19.809999,19.950001,18.549999,18.549999,4.114299,0,4.349402,-0.0540540975518015
"128","2014-08-01",18.450001,19.48,18.389999,19.379999,4.298389,0,4.114299,0.0447439527365416
"129","2014-09-01",19.42,19.42,18.18,18.18,4.032235,0,4.298389,-0.0619194772739275
"130","2014-10-01",17.870001,18.34,16.860001,18.34,4.067722,0,4.032235,0.00880082634072665
"131","2014-11-01",18.32,18.860001,18.32,18.58,4.120954,0,4.067722,0.0130864400271209
"132","2014-12-01",18.35,18.84,14.78,15.74,3.491055,0,4.120954,-0.152852713230965
"133","2015-01-01",15.62,15.62,14.73,14.84,4.024201,0,3.491055,0.152717731459401
"134","2015-02-01",15.04,16.389999,15.04,16.32,4.425537,0,4.024201,0.0997306049076576
"135","2015-03-01",16.469999,16.76,16.049999,16.49,4.471636,0,4.425537,0.010416588992477
